ENSG00000000971
ENSG00000138641
ENSG00000284194
ENSG00000281708
ENSG00000278570
ENSG00000278057
ENSG00000277656
ENSG00000277632
ENSG00000277586
ENSG00000276409
ENSG00000275896
ENSG00000275718
ENSG00000275410
ENSG00000275395
ENSG00000275385
ENSG00000274750
ENSG00000268606
ENSG00000268009
ENSG00000267534
ENSG00000267467
ENSG00000266964
ENSG00000263639
ENSG00000262655
ENSG00000261857
ENSG00000261701
ENSG00000261371
ENSG00000260549
ENSG00000260314
ENSG00000258818
ENSG00000257017
ENSG00000255072
ENSG00000254827
ENSG00000253352
ENSG00000251664
ENSG00000251493
ENSG00000250722
ENSG00000250506
ENSG00000248144
ENSG00000248098
ENSG00000244734
ENSG00000244731
ENSG00000244509
ENSG00000244474
ENSG00000244414
ENSG00000244405
ENSG00000243709
ENSG00000243649
ENSG00000243509
ENSG00000242265
ENSG00000242173
ENSG00000241839
ENSG00000241563
ENSG00000241258
ENSG00000240583
ENSG00000240505
ENSG00000240038
ENSG00000239961
ENSG00000239839
ENSG00000239697
ENSG00000239389
ENSG00000237289
ENSG00000236362
ENSG00000236362
ENSG00000236362
ENSG00000236362
ENSG00000236362
ENSG00000235863
ENSG00000235750
ENSG00000234906
ENSG00000232810
ENSG00000231852
ENSG00000231389
ENSG00000230657
ENSG00000229314
ENSG00000228278
ENSG00000225937
ENSG00000224389
ENSG00000223609
ENSG00000221988
ENSG00000221957
ENSG00000221878
ENSG00000221867
ENSG00000220205
ENSG00000215704
ENSG00000215644
ENSG00000214548
ENSG00000213937
ENSG00000213918
ENSG00000213886
ENSG00000213760
ENSG00000213676
ENSG00000213654
ENSG00000213402
ENSG00000213366
ENSG00000213218
ENSG00000213199
ENSG00000213190
ENSG00000213088
ENSG00000211452
ENSG00000211448
ENSG00000211445
ENSG00000206075
ENSG00000206047
ENSG00000205809
ENSG00000205420
ENSG00000205358
ENSG00000205076
ENSG00000204983
ENSG00000204961
ENSG00000204681
ENSG00000204613
ENSG00000204498
ENSG00000204482
ENSG00000204444
ENSG00000204389
ENSG00000204305
ENSG00000204262
ENSG00000204257
ENSG00000203782
ENSG00000203690
ENSG00000198933
ENSG00000198932
ENSG00000198910
ENSG00000198848
ENSG00000198846
ENSG00000198844
ENSG00000198838
ENSG00000198821
ENSG00000198794
ENSG00000198734
ENSG00000198729
ENSG00000198722
ENSG00000198692
ENSG00000198682
ENSG00000198648
ENSG00000198576
ENSG00000198502
ENSG00000198467
ENSG00000198400
ENSG00000198363
ENSG00000198099
ENSG00000198077
ENSG00000198074
ENSG00000198053
ENSG00000197971
ENSG00000197956
ENSG00000197901
ENSG00000197893
ENSG00000197766
ENSG00000197696
ENSG00000197635
ENSG00000197594
ENSG00000197555
ENSG00000197446
ENSG00000197444
ENSG00000197405
ENSG00000197381
ENSG00000197249
ENSG00000196912
ENSG00000196839
ENSG00000196781
ENSG00000196754
ENSG00000196735
ENSG00000196724
ENSG00000196616
ENSG00000196611
ENSG00000196569
ENSG00000196557
ENSG00000196549
ENSG00000196455
ENSG00000196420
ENSG00000196415
ENSG00000196344
ENSG00000196208
ENSG00000196154
ENSG00000196141
ENSG00000196139
ENSG00000196136
ENSG00000196101
ENSG00000196091
ENSG00000196083
ENSG00000189221
ENSG00000189143
ENSG00000189058
ENSG00000189056
ENSG00000188822
ENSG00000188783
ENSG00000188747
ENSG00000188404
ENSG00000188389
ENSG00000188372
ENSG00000188257
ENSG00000188153
ENSG00000188120
ENSG00000187908
ENSG00000187840
ENSG00000187837
ENSG00000187758
ENSG00000187498
ENSG00000187391
ENSG00000187266
ENSG00000187240
ENSG00000187189
ENSG00000187134
ENSG00000187122
ENSG00000187094
ENSG00000186868
ENSG00000186847
ENSG00000186818
ENSG00000186652
ENSG00000186642
ENSG00000186594
ENSG00000186510
ENSG00000186480
ENSG00000186340
ENSG00000186310
ENSG00000186205
ENSG00000186081
ENSG00000185974
ENSG00000185880
ENSG00000185745
ENSG00000185686
ENSG00000185664
ENSG00000185627
ENSG00000185565
ENSG00000185559
ENSG00000185518
ENSG00000185483
